distance,elevation
0,422
0.006999506833215317,422
0.008536168874645443,422
0.04423386075271966,422.2769775390625
0.09888840119786785,422.8899841308594
0.23329995384659122,422.9624633789062
0.2506149134121996,423.0323486328125
0.2613635849461087,423.1141662597656
0.3104956055431158,423.7206726074219
0.3566751635600243,424
0.3868400982087018,424
0.4014113521363496,424
0.4705769780183948,424.2789306640625
0.5418929147474402,424.0772705078125
0.5742462180146789,424
0.5960131242429623,424
0.6229742474418374,424.080078125
0.6703859465605433,424.6217346191406
0.6996278676645377,425
0.742392083559654,425
0.77305221666198,425
0.7805491003177495,425.0935974121094
0.7996136115474556,425.3557434082031
0.834565147421478,425.778076171875
1.0078247451901412,424.1640014648438
1.048769052614647,423.3921508789062
1.154906206248883,422.0130615234375
1.2545311559519818,421.1155395507812
1.2847032604937167,420.9055786132812
1.2995308047021388,420.7789611816406
1.3820192541851575,420.9706726074219
1.3851963969417678,420.9999694824219
1.4864806146186855,422.0780639648438
1.5476744967497997,422.7210388183594
1.8844831125960286,426.3374633789062
1.9246676666101215,425.5904541015625
2.0925008153834947,425.3577575683594
2.1834461551668563,424.045166015625
2.256650011797448,424.1684265136719
2.577297125296035,424.9398498535156
2.8090154409561707,427.7836303710938
2.9743651245399727,428.1671447753906
2.982043154322548,428.2399597167969
2.9868296259722427,428.2982177734375
3.079093207301086,429.0283203125
3.0976401243791285,429.0005187988281
3.0991738510558124,429.0115356445312
3.1524949607239385,429.1754760742188
3.177436940656644,429.2919921875
3.213503608783214,429.6366882324219
3.2649680854725927,429.9941101074219
3.267360379634675,429.9980163574219
3.352534379875226,430.6527404785156
3.3758049560542,430.9148864746094
4.014877588267118,433.5182495117188
4.386006382079754,435.0061950683594
4.420541959335935,434.5137634277344
4.523974914076939,433.2215881347656
4.592100962805933,433.2179870605469
4.839460123917625,434.2643432617188
4.85737700794557,434.397216796875
4.858910734622254,434.397216796875
4.891434353974083,434.7612915039062
5.213831970161792,437.4637756347656
5.229399622310053,437.4637756347656
5.259496956694969,437.492919921875
5.261959791315549,437.5074768066406
5.425000573106505,437.0782775878906
5.426111762280132,437.0512084960938
5.7852616058818995,439.79833984375
5.788761359298507,439.7726745605469
5.845170344387467,439.1359558105469
6.6617460500067684,442.2812194824219
6.704155146951639,442.7755126953125
6.741984331895571,443.0498046875
6.782661309876067,443.2421569824219
6.827488466823086,444.0868530273438
6.896518637062796,445.3758850097656
6.969435744335936,445.9686279296875
6.992823570895002,445.779296875
7.183275538688276,446.1235961914062
7.201000241028877,446.3274841308594
7.202536903070308,446.342041015625
7.268782016599224,446.5282592773438
7.279532364992977,446.3015747070312
7.2918403153960565,446.0741271972656
7.319620206953673,445.6870727539062
7.421934695573765,444.26708984375
7.461173648951952,444.6650390625
7.475834007557565,444.8573303222656
7.50052886660889,444.9996337890625
7.538541770791797,445.0419616699219
7.5523260360636,445.0045776367188
7.566682312411318,445.1029052734375
7.587386479891923,445.2188110351562
7.605459378168049,445.3040466308594
7.607683783308562,445.3171081542969
7.663773594851651,446.0651245117188
7.712882588503873,447.0751953125
7.721778182965351,447.1917114257812
7.729633182528437,447.2936401367188
7.749005334319011,447.5412292480469
7.756395667697646,447.6286010742188
7.782553744919202,447.9198913574219
7.783610899656781,447.9198913574219
7.841382831216583,448
7.949888768605589,449.7230529785156
7.972534767588546,450.0502624511719
8.012631306292583,450.5748596191406
8.025671007284203,450.87158203125
8.03763549162891,451.1830444335938
8.07210498052493,451.8399658203125
8.083212004673143,451.9273376464844
8.091343255894698,452
8.105815829922479,452
8.125902667331339,452
8.152867968774395,451.6698303222656
8.284806722010728,450.9104309082031
8.288686313102044,450.8947143554688
8.36462125937042,451.117431640625
8.365678414108,451.1075744628906
8.377185574794812,451.1749572753906
8.421167572753186,451.5679931640625
8.43073863291234,451.6389465332031
8.44559107747673,451.61083984375
8.470583955410433,451.4126586914062
8.472700395172756,451.3841552734375
8.508291890341546,451.0657043457031
8.510684184503628,451.0802612304688
8.526729935013364,451.1094055175781
8.598847339000171,450.4583740234375
8.682680582657087,448.6880798339844
8.68586056088303,448.6548767089844
8.764445658660504,448.2301330566406
8.770802071368623,448.1853942871094
8.821956959261586,447.9589538574219
8.87179907565689,447.5453796386719
8.935100491494827,447.06689453125
8.974298769041072,447.2229614257812
9.02229548696331,447.4997253417969
9.061556828519878,446.989990234375
9.09574856390579,446.5138244628906
9.145506344405902,446.73876953125
9.284189529067612,448.1692199707031
9.329256905905291,448.1445617675781
9.330790632581975,448.13330078125
9.36720868401904,448.3379516601562
9.403101760406882,448.7748718261719
9.445512769973666,449.4836730957031
9.459683592438594,449.7400207519531
9.641569093945373,449.4976501464844
9.68747833562292,449.2355041503906
9.69135676498608,449.2063598632812
9.71293800350491,449.1044311523438
9.730213619425271,449.0607299804688
9.746104722090044,449.0607299804688
9.755704459999432,449.0461730957031
9.823515115874075,449.4678649902344
9.833305886633708,449.7070007324219
9.842414234613065,449.9384155273438
9.853200572439958,450.1714477539062
9.883881422396815,450.7831115722656
9.920018490881175,451.5085754394531
9.997736703023028,452.1969299316406
10.013843840977547,451.9353637695312
10.073282436037834,451.705322265625
10.169633812899619,452.2532348632812
10.220865987511127,452.0202026367188
10.310473342834351,451.2402038574219
10.422520162688894,449.7942199707031
10.446448754731009,449.2413940429688
10.48023638599131,448.9765319824219
10.506394118662689,448.8745727539062
10.544548542869268,448.6030578613281
10.621720254776491,449.8555297851562
10.75058494705602,448.3759765625
10.803709114540503,447.8153381347656
10.937250957504686,446.2565002441406
11.123625123923421,444.2543334960938
