Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2007-08-13,6.02317,6.12315,6.02317,6.05665,20331.522163048
2007-08-14,6.02317,6.1299,5.99663,6.06313,23479.855136159
2007-08-16,5.82997,5.99663,5.66357,5.99663,46482.856218242
2007-08-17,5.66357,5.99663,5.61687,5.99663,12226.099459992
2007-08-20,5.99663,6.17661,5.6768,6.01661,28681.401082331
2007-08-21,5.99663,5.99663,5.73008,5.90349,10746.207568036
2007-08-22,5.82997,6.02317,5.82997,6.02317,31097.461622977
2007-08-23,6.06313,6.2764,6.02993,6.12315,29845.582704004
2007-08-24,6.15663,6.15663,5.95667,6.04999,10810.884324796
2007-08-27,6.0832,6.0832,5.97647,6.00995,9169.8486490484
2007-08-28,6.05665,6.05665,5.86335,5.86335,39152.458380085
2007-08-29,5.79667,5.89674,5.79667,5.89674,10021.608649085
2007-08-30,5.95667,5.95667,5.82997,5.82997,14940.330811462
2007-08-31,5.87658,5.87658,5.77012,5.87658,4036.268108284
2007-09-03,5.81673,5.87658,5.81673,5.86335,28202.354595824
2007-09-04,5.83681,5.85669,5.76337,5.85669,16073.818379079
2007-09-05,5.79667,5.85013,5.77012,5.77012,3453.0810812316
2007-09-06,5.7101,5.79667,5.63028,5.63028,11500.404324826
2007-09-07,5.66357,5.66357,5.46352,5.62343,15347.027027696
2007-09-10,5.5635,5.59014,5.36372,5.36372,6301.0508110855
2007-09-11,5.42366,5.47018,5.39692,5.41024,5581.9329732163
2007-09-12,5.35041,5.39692,5.19715,5.19715,14587.349189825
2007-09-13,5.25699,5.26374,5.19715,5.19715,1984.1513514378
2007-09-14,5.25033,5.26374,5.15035,5.15035,10818.557838309
2007-09-17,5.19715,5.19715,5.06378,5.1904,5691.5545948427
2007-09-18,5.18365,5.1904,5.06378,5.1904,4539.4313515492
2007-09-19,5.14369,5.23044,5.14369,5.19715,16470.648649367
2007-09-20,5.16376,5.16376,4.99719,5.13055,14140.092973589
2007-09-21,5.06378,5.19715,5.06378,5.19715,10423.920000454
2007-09-24,5.15035,5.1904,4.99719,5.15711,4410.0778380301
2007-09-25,5.03058,5.15711,4.99719,5.03058,6706.6508111032
2007-09-26,4.99719,5.03058,4.96389,5.03058,6439.1740543347
2007-09-27,5.06378,5.08385,4.99719,5.08385,16778.685406137
2007-09-28,5.08385,5.08385,4.99719,5.01717,15994.890811508
2007-10-01,5.01717,5.33033,4.99719,5.33033,65040.700543376
