,Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,Volume,Wallet,Sell,Buy
2862,2020-05-11,4.48488,4.56871,4.48488,4.52675,4061.4810812581,893.1734106161788,4043.1727365067873,,
2863,2020-05-12,4.56871,4.56871,4.44301,4.52675,11829.269189705,893.1734106161788,4043.1727365067873,,
2864,2020-05-13,4.52675,4.52675,4.44301,4.52675,22591.920000985,893.1734106161788,4043.1727365067873,,
2865,2020-05-14,4.56871,4.56871,4.48488,4.48488,3471.7167569081,0.0,4005.7755658042884,4.48488,
2866,2020-05-15,4.56871,4.56871,4.48488,4.56871,2675.8637839004,876.7848179911372,4005.7755658042884,,4.56871
2867,2020-05-18,4.56871,4.65246,4.56871,4.61059,15235.212973637,876.7848179911372,4042.495313981757,,
2868,2020-05-19,4.52675,4.61059,4.52675,4.61059,5598.3762164602,876.7848179911372,4042.495313981757,,
2869,2020-05-20,4.61059,4.69451,4.61059,4.65246,10182.752432876,876.7848179911372,4079.206294311046,,
2870,2020-05-21,4.65246,4.69451,4.65246,4.65246,8156.9448652204,876.7848179911372,4079.206294311046,,
2871,2020-05-22,4.69451,4.86208,4.69451,4.86208,75720.03892222,876.7848179911372,4262.997927858348,,
2872,2020-05-25,4.90396,5.02975,4.86208,5.02975,82319.260544129,876.7848179911372,4410.008438290922,,
2873,2020-05-26,5.07163,5.07163,4.86208,4.90396,27513.93081201,876.7848179911372,4299.717676035817,,
2874,2020-05-27,4.94592,5.07163,4.77826,4.98788,49493.065948103,876.7848179911372,4373.297457961633,,
2875,2020-05-28,5.02975,5.07163,4.98788,4.98788,36416.30270429,876.7848179911372,4373.297457961633,,
2876,2020-05-29,4.94592,4.94592,4.56871,4.82012,49419.619461614,876.7848179911372,4226.20803689544,,
2877,2020-06-01,4.82012,4.82012,4.56871,4.65246,47447.526488555,876.7848179911372,4079.206294311046,,
2878,2020-06-02,4.69451,4.73638,4.56871,4.65246,15422.665946618,0.0,4079.206294311046,4.65246,
2879,2020-06-03,4.61059,4.73638,4.56871,4.56871,33991.472433914,0.0,4079.206294311046,,
2880,2020-06-04,4.65246,4.69451,4.61059,4.61059,10480.9232437,0.0,4079.206294311046,,
2881,2020-06-05,4.65246,4.65246,4.52675,4.56871,15434.724324997,0.0,4079.206294311046,,
2882,2020-06-08,4.61059,4.61059,4.52675,4.56871,14527.057297931,0.0,4079.206294311046,,
2883,2020-06-09,4.61059,4.61059,4.48488,4.61059,3778.657297462,0.0,4079.206294311046,,
